date,product,region,customer_segment,quantity,revenue,cost,profit,churn_risk
2024-04-05,Product_C,West,High Value,7,7728,4757.18,2970.82,Medium
2024-01-09,Product_C,North,Returning,12,3420,2111.05,1308.95,High
2024-02-27,Product_D,South,New,6,7644,5336.53,2307.47,Low
2024-04-07,Product_D,South,High Value,10,13430,9998.53,3431.47,Low
2024-05-15,Product_C,West,High Value,7,7000,4450.81,2549.19,Low
2024-04-19,Product_C,South,New,12,5784,3476.59,2307.41,Medium
2024-05-29,Product_C,South,High Value,10,7430,5544.54,1885.46,Low
2024-02-20,Product_A,West,Returning,2,512,287.0,225.0,Medium
2024-03-24,Product_D,East,High Value,7,10185,7524.23,2660.77,Low
2024-02-27,Product_A,South,Returning,15,16920,10636.8,6283.2,Medium
2024-04-21,Product_A,West,New,19,20539,12718.56,7820.44,Medium
2024-02-17,Product_B,South,New,8,4064,2316.07,1747.93,Medium
2024-01-31,Product_D,West,High Value,11,4323,3216.38,1106.62,High
2024-05-10,Product_B,North,Returning,15,10860,7495.28,3364.72,Low
2024-06-06,Product_A,South,New,19,7771,4982.22,2788.78,Low
2024-04-12,Product_A,West,High Value,16,16512,9397.44,7114.56,Low
2024-03-04,Product_D,East,High Value,8,2048,1350.58,697.42,Low
2024-02-03,Product_B,South,High Value,13,19266,13879.41,5386.59,Low
2024-04-26,Product_A,West,New,12,13164,7282.4,5881.6,High
2024-06-14,Product_D,North,New,13,8892,5963.35,2928.65,Low
2024-06-08,Product_C,West,Returning,5,2405,1732.06,672.94,Low
2024-01-19,Product_D,West,Returning,8,3624,2548.65,1075.35,Low
2024-05-12,Product_C,North,Returning,5,5220,3154.5,2065.5,Low
2024-05-30,Product_B,West,Returning,15,14385,10526.44,3858.56,Medium
2024-02-16,Product_A,East,Returning,3,1362,919.48,442.52,Low
2024-04-27,Product_D,South,New,6,4656,2755.46,1900.54,Medium
2024-03-14,Product_C,South,High Value,5,7220,4621.2,2598.8,Low
2024-01-01,Product_A,East,New,17,7106,5112.44,1993.56,Low
2024-03-28,Product_C,East,Returning,16,19024,13389.32,5634.68,Low
2024-05-15,Product_D,East,High Value,16,13920,7714.49,6205.51,Low
2024-04-26,Product_D,East,New,12,6672,4072.33,2599.67,Low
2024-01-14,Product_B,North,Returning,9,6507,4103.35,2403.65,Medium
2024-03-29,Product_D,North,New,3,1188,885.53,302.47,Low
2024-03-04,Product_A,East,Returning,7,5719,3703.76,2015.24,Medium
2024-05-23,Product_C,West,High Value,11,13915,8846.17,5068.83,Medium
2024-01-22,Product_A,North,Returning,7,9296,6535.68,2760.32,High
2024-06-06,Product_B,South,New,10,5760,3439.4,2320.6,Low
2024-04-03,Product_C,West,Returning,19,7239,4390.84,2848.16,Low
2024-04-12,Product_A,East,New,4,4248,2882.5,1365.5,Medium
2024-05-10,Product_D,West,New,12,3600,2292.86,1307.14,High
2024-05-06,Product_B,North,High Value,18,20484,15148.68,5335.32,Low
2024-04-07,Product_D,North,High Value,2,608,406.52,201.48,Low
2024-06-18,Product_A,South,High Value,13,8229,5747.74,2481.26,Low
2024-05-21,Product_D,South,Returning,12,15504,9424.09,6079.91,Low
2024-05-01,Product_A,South,New,17,9639,7140.47,2498.53,High
2024-01-26,Product_B,North,High Value,14,19502,13355.12,6146.88,Low
2024-03-07,Product_B,West,Returning,6,6708,4251.98,2456.02,Medium
2024-03-22,Product_D,West,High Value,9,9315,6063.39,3251.61,Low
2024-04-27,Product_D,North,High Value,8,3568,2531.42,1036.58,Low
2024-05-04,Product_D,West,New,15,20865,12772.37,8092.63,Low
2024-01-29,Product_A,South,Returning,17,9843,6121.79,3721.21,Low
2024-06-13,Product_C,South,New,13,14430,9216.62,5213.38,High
2024-04-24,Product_B,South,High Value,12,13500,10035.11,3464.89,Medium
2024-05-08,Product_A,South,New,18,21888,16402.03,5485.97,Low
2024-04-19,Product_B,North,New,12,10884,7896.88,2987.12,Low
2024-02-21,Product_C,East,High Value,15,5250,3907.94,1342.06,Low
2024-02-15,Product_C,West,Returning,15,20520,13212.45,7307.55,High
2024-04-02,Product_B,North,High Value,13,5265,3031.66,2233.34,Low
2024-06-16,Product_D,North,High Value,19,10716,6325.45,4390.55,Low
2024-06-04,Product_B,North,New,4,2980,2128.04,851.96,Low
2024-02-25,Product_C,North,New,10,4300,3131.38,1168.62,Low
2024-03-30,Product_B,West,High Value,6,8106,4539.64,3566.36,Low
2024-02-06,Product_D,East,High Value,17,22117,12979.59,9137.41,Low
2024-03-04,Product_A,East,Returning,9,12312,8678.69,3633.31,Low
2024-04-24,Product_B,North,New,8,11152,6194.06,4957.94,Medium
2024-05-02,Product_B,East,Returning,1,1215,885.32,329.68,Low
2024-02-14,Product_C,North,High Value,17,25313,16502.34,8810.66,High
2024-06-09,Product_B,East,New,7,2926,1969.24,956.76,High
2024-05-23,Product_B,West,Returning,14,16548,9268.56,7279.44,Low
2024-03-17,Product_D,South,New,5,4155,2677.69,1477.31,Low
2024-04-06,Product_D,East,New,19,26904,17959.1,8944.9,Medium
2024-05-02,Product_D,North,New,3,2832,1811.09,1020.91,Medium
2024-05-03,Product_B,West,Returning,13,15561,8757.42,6803.58,Low
2024-05-26,Product_B,North,Returning,12,3696,2675.67,1020.33,Low
2024-01-15,Product_A,West,New,16,22736,14027.56,8708.44,Low
2024-05-26,Product_D,South,High Value,9,9432,6367.01,3064.99,High
2024-04-12,Product_B,West,Returning,7,9387,5465.95,3921.05,High
2024-02-17,Product_D,East,New,9,11160,6191.66,4968.34,Low
2024-02-18,Product_A,South,Returning,4,4968,3460.87,1507.13,High
2024-06-21,Product_A,West,Returning,7,9128,6631.7,2496.3,Low
2024-05-06,Product_A,North,New,4,1612,1159.03,452.97,Low
2024-06-12,Product_B,South,New,4,2024,1155.2,868.8,Low
2024-04-11,Product_D,South,High Value,10,12800,8750.09,4049.91,Low
2024-05-11,Product_B,West,New,11,4488,3272.4,1215.6,Low
2024-03-14,Product_D,South,High Value,9,4230,2353.9,1876.1,Low
2024-03-04,Product_B,West,High Value,3,2982,1844.11,1137.89,Medium
2024-05-16,Product_C,West,New,1,924,549.67,374.33,Low
2024-02-23,Product_A,North,New,15,8670,4784.26,3885.74,Medium
2024-06-12,Product_D,North,High Value,18,22500,15556.3,6943.7,Medium
2024-02-25,Product_D,South,New,17,20196,12093.96,8102.04,Low
2024-03-13,Product_B,East,Returning,2,2262,1285.92,976.08,Low
2024-06-20,Product_B,West,High Value,9,8208,4914.94,3293.06,High
2024-05-24,Product_D,South,New,3,2379,1426.27,952.73,Low
2024-06-24,Product_D,South,High Value,4,1464,1088.23,375.77,Low
2024-06-27,Product_B,North,Returning,12,4716,3090.01,1625.99,Medium
2024-03-16,Product_A,East,High Value,16,9648,5750.82,3897.18,Low
2024-04-28,Product_B,East,New,15,4305,2487.4,1817.6,Medium
2024-02-02,Product_A,South,Returning,12,9804,6021.09,3782.91,Low
2024-06-21,Product_B,South,New,6,3474,2588.06,885.94,Low
2024-04-29,Product_D,North,High Value,10,6620,4404.35,2215.65,High
2024-06-04,Product_D,East,New,4,2104,1443.88,660.12,Medium
2024-05-06,Product_C,North,New,7,2226,1227.76,998.24,Low
2024-01-11,Product_C,East,Returning,13,6669,4039.1,2629.9,Low
2024-06-10,Product_B,South,High Value,15,19515,13913.39,5601.61,Low
2024-02-10,Product_B,North,High Value,3,2142,1235.41,906.59,High
2024-04-25,Product_D,West,New,3,2124,1252.77,871.23,Low
2024-02-04,Product_D,East,High Value,7,10444,6882.18,3561.82,Low
2024-03-01,Product_C,East,Returning,7,5593,3343.22,2249.78,Low
2024-05-03,Product_B,East,Returning,5,5955,4113.75,1841.25,Low
2024-01-25,Product_A,South,Returning,19,9044,5681.29,3362.71,High
2024-03-10,Product_D,West,New,3,1374,877.82,496.18,Low
2024-04-10,Product_C,North,High Value,16,8144,5063.39,3080.61,Low
2024-04-11,Product_A,North,High Value,8,5280,3810.39,1469.61,Medium
2024-05-13,Product_A,East,Returning,6,8784,4938.2,3845.8,Medium
2024-05-17,Product_A,North,Returning,13,4927,2932.39,1994.61,Low
2024-04-12,Product_C,North,New,15,19950,14210.89,5739.11,Low
2024-06-13,Product_A,North,High Value,12,11124,8142.2,2981.8,High
2024-05-01,Product_C,East,High Value,13,11596,7697.39,3898.61,Low
2024-02-17,Product_D,South,High Value,10,5520,3474.06,2045.94,Low
2024-06-10,Product_B,West,High Value,13,5954,3585.15,2368.85,Low
2024-03-18,Product_B,South,High Value,7,2212,1468.46,743.54,Medium
2024-01-22,Product_B,South,High Value,2,1484,885.31,598.69,Low
2024-05-06,Product_B,West,Returning,2,2586,1516.31,1069.69,Low
2024-01-06,Product_C,South,High Value,2,1326,852.35,473.65,Low
2024-01-04,Product_A,North,High Value,17,10098,5884.21,4213.79,Low
2024-06-12,Product_D,West,New,14,18102,11048.74,7053.26,High
2024-03-12,Product_D,West,New,15,8520,6107.69,2412.31,Low
2024-06-15,Product_D,South,New,1,1462,877.73,584.27,Medium
2024-03-06,Product_C,South,New,5,3390,2065.55,1324.45,Low
2024-01-26,Product_D,East,High Value,16,4496,2670.92,1825.08,Low
2024-05-01,Product_C,East,New,6,2172,1406.82,765.18,Low
2024-03-28,Product_D,South,High Value,13,11440,6903.23,4536.77,High
2024-02-26,Product_C,North,Returning,7,6013,4060.04,1952.96,Low
2024-01-23,Product_B,South,High Value,13,14586,8663.68,5922.32,Low
2024-03-08,Product_B,East,High Value,15,11460,6609.06,4850.94,Low
2024-02-04,Product_D,South,High Value,2,846,585.49,260.51,Low
2024-02-12,Product_D,East,New,9,4932,3559.14,1372.86,Low
2024-04-11,Product_B,West,New,7,6797,4369.11,2427.89,Medium
2024-06-09,Product_D,North,High Value,11,3256,2440.83,815.17,Low
2024-05-07,Product_A,East,High Value,1,220,138.95,81.05,Low
2024-01-26,Product_C,East,New,2,1604,911.64,692.36,Medium
2024-03-29,Product_D,East,Returning,1,646,371.88,274.12,Medium
2024-03-21,Product_A,North,New,7,7672,5618.69,2053.31,Low
2024-02-02,Product_C,North,New,3,2706,1684.37,1021.63,Medium
2024-06-08,Product_C,South,Returning,12,13908,9944.32,3963.68,High
2024-05-10,Product_C,West,High Value,2,2822,1994.74,827.26,High
2024-06-06,Product_C,East,New,18,23382,14721.12,8660.88,High
2024-06-27,Product_B,South,New,15,15555,11398.32,4156.68,High
2024-03-08,Product_D,West,High Value,5,6025,4298.1,1726.9,Medium
2024-06-28,Product_D,South,Returning,6,2724,1644.28,1079.72,Low
2024-01-18,Product_A,South,New,15,4830,2755.54,2074.46,Low
2024-03-01,Product_D,West,New,3,3441,2385.12,1055.88,High
2024-06-04,Product_B,South,High Value,16,15136,8557.8,6578.2,Medium
2024-04-04,Product_D,South,Returning,6,7878,4718.38,3159.62,Low
2024-04-28,Product_C,South,New,14,20160,14624.55,5535.45,Low
2024-05-14,Product_A,North,Returning,7,7217,4451.3,2765.7,Low
2024-04-26,Product_A,East,High Value,8,10248,6877.95,3370.05,Medium
2024-06-02,Product_C,North,New,16,23904,16416.25,7487.75,Medium
2024-04-04,Product_D,South,Returning,16,20912,12293.93,8618.07,Low
2024-05-18,Product_C,West,Returning,7,9212,5098.84,4113.16,Low
2024-03-18,Product_B,North,Returning,6,2148,1533.46,614.54,Low
2024-03-23,Product_B,North,Returning,9,13248,8866.48,4381.52,Low
2024-02-27,Product_C,South,Returning,19,22553,15023.71,7529.29,Medium
2024-04-13,Product_A,West,New,5,3765,2225.78,1539.22,Low
2024-03-19,Product_A,South,High Value,14,14462,9909.93,4552.07,High
2024-03-18,Product_D,South,High Value,1,1041,679.32,361.68,Low
2024-03-22,Product_A,North,Returning,3,615,409.44,205.56,Medium
2024-03-11,Product_A,South,Returning,2,2050,1415.84,634.16,Medium
2024-05-31,Product_A,East,Returning,12,10332,7227.28,3104.72,High
2024-04-23,Product_D,South,New,16,22960,15568.93,7391.07,Low
2024-05-09,Product_D,West,High Value,1,316,175.91,140.09,Low
2024-03-28,Product_B,South,High Value,15,3675,2590.56,1084.44,Low
2024-06-09,Product_C,South,High Value,12,12528,7420.87,5107.13,Low
2024-05-19,Product_B,North,New,3,2217,1317.91,899.09,Low
2024-01-04,Product_B,West,New,17,7514,4482.67,3031.33,Low
2024-02-10,Product_C,North,High Value,2,1808,1267.35,540.65,Low
2024-01-27,Product_C,West,Returning,11,6556,4896.14,1659.86,Low
2024-01-01,Product_C,West,New,7,3472,2155.8,1316.2,Low
2024-04-30,Product_B,East,Returning,7,3206,1929.35,1276.65,High
2024-03-22,Product_A,North,High Value,1,375,255.49,119.51,High
2024-02-24,Product_D,West,New,7,3325,2129.92,1195.08,High
2024-03-28,Product_C,North,Returning,13,15912,10244.34,5667.66,Low
2024-05-19,Product_A,South,Returning,4,2552,1457.02,1094.98,Low
2024-04-02,Product_B,South,New,1,506,291.49,214.51,Medium
2024-06-10,Product_D,West,Returning,5,1900,1252.09,647.91,Low
2024-05-05,Product_D,West,High Value,18,11394,6550.67,4843.33,Low
2024-05-12,Product_B,East,High Value,2,2488,1477.03,1010.97,Low
2024-05-08,Product_A,North,New,15,3570,2036.88,1533.12,Low
2024-02-12,Product_C,South,Returning,17,23987,15924.96,8062.04,Medium
2024-01-03,Product_D,North,High Value,14,10640,6200.18,4439.82,Medium
2024-02-04,Product_C,South,New,14,15526,11582.26,3943.74,High
2024-05-08,Product_D,East,High Value,7,4858,3533.75,1324.25,Low
2024-06-08,Product_B,East,High Value,9,3690,2662.04,1027.96,Medium
2024-05-26,Product_B,South,High Value,4,1356,878.48,477.52,Low
2024-01-31,Product_A,West,Returning,12,8460,6237.01,2222.99,High
2024-03-21,Product_C,West,New,17,21964,15922.77,6041.23,Medium
2024-01-24,Product_D,South,High Value,1,299,216.82,82.18,Low
2024-04-03,Product_D,North,Returning,18,11898,7375.62,4522.38,Low
2024-01-21,Product_A,South,Returning,10,3560,2442.56,1117.44,Low
2024-06-01,Product_C,South,Returning,18,25110,18320.99,6789.01,High
2024-03-18,Product_C,South,Returning,3,2475,1656.29,818.71,Low
2024-05-17,Product_D,East,High Value,13,13949,10209.45,3739.55,Low
2024-04-28,Product_C,South,Returning,16,18944,13471.06,5472.94,Low
2024-06-08,Product_B,North,New,14,18410,10997.39,7412.61,Low
2024-02-02,Product_B,South,New,2,870,588.15,281.85,High
2024-04-21,Product_A,South,High Value,13,11024,6199.37,4824.63,Medium
2024-05-10,Product_B,North,High Value,3,2223,1317.44,905.56,Medium
2024-02-15,Product_A,North,High Value,9,5265,3929.15,1335.85,Medium
2024-06-19,Product_A,West,High Value,19,25916,18950.3,6965.7,Low
2024-03-22,Product_A,South,New,9,9072,6183.38,2888.62,Medium
2024-01-21,Product_A,South,Returning,15,4935,2954.79,1980.21,Low
2024-06-11,Product_A,East,High Value,5,1285,722.99,562.01,Medium
2024-01-07,Product_B,South,High Value,11,15235,10321.11,4913.89,Low
2024-02-04,Product_D,South,High Value,6,6510,4276.81,2233.19,High
2024-06-19,Product_C,East,New,6,6060,3806.04,2253.96,High
2024-05-28,Product_B,North,New,12,7788,4670.93,3117.07,High
2024-03-31,Product_C,North,Returning,18,14328,9676.47,4651.53,Low
2024-05-07,Product_C,South,Returning,12,5724,3465.47,2258.53,Low
2024-03-30,Product_D,South,High Value,11,4994,2919.25,2074.75,Medium
2024-03-01,Product_D,South,New,2,2048,1519.24,528.76,Low
2024-06-20,Product_A,South,New,8,3840,2622.21,1217.79,Low
2024-05-12,Product_D,North,High Value,8,3280,1809.65,1470.35,Low
2024-05-12,Product_D,East,Returning,19,16739,11719.12,5019.88,Medium
2024-06-06,Product_C,South,Returning,1,428,298.08,129.92,Low
2024-02-26,Product_A,West,New,7,5061,3139.56,1921.44,Low
2024-05-22,Product_A,West,New,5,1660,998.76,661.24,High
2024-02-10,Product_A,North,New,1,990,554.98,435.02,Medium
2024-04-19,Product_C,West,Returning,16,12000,7817.74,4182.26,Low
2024-02-27,Product_A,South,Returning,17,10557,6420.77,4136.23,High
2024-02-19,Product_C,North,New,18,15786,8684.66,7101.34,Low
2024-05-12,Product_C,South,High Value,9,11655,7852.55,3802.45,Low
2024-06-25,Product_D,East,Returning,6,2094,1345.69,748.31,Low
2024-01-11,Product_D,South,New,12,15864,10746.55,5117.45,High
2024-04-25,Product_C,East,Returning,16,10464,6067.94,4396.06,High
2024-03-20,Product_B,West,New,9,4050,2268.65,1781.35,Low
2024-01-19,Product_C,North,Returning,13,5525,3823.77,1701.23,Low
2024-06-12,Product_C,East,High Value,6,1980,1122.35,857.65,High
2024-05-14,Product_C,North,Returning,6,5748,3489.5,2258.5,Low
2024-06-25,Product_C,West,High Value,3,4299,3194.88,1104.12,Low
2024-02-07,Product_A,North,High Value,5,5170,3097.3,2072.7,Medium
2024-03-25,Product_B,East,Returning,5,1640,1122.88,517.12,Medium
2024-01-03,Product_A,North,High Value,18,9576,6241.94,3334.06,Low
2024-05-29,Product_B,North,New,16,18288,10865.63,7422.37,Low
2024-04-26,Product_C,North,High Value,11,15367,11050.85,4316.15,Medium
2024-02-25,Product_D,South,Returning,15,15405,9109.89,6295.11,High
2024-03-01,Product_D,South,High Value,16,22640,15632.49,7007.51,Low
2024-05-20,Product_B,South,Returning,2,730,526.79,203.21,Low
2024-01-06,Product_D,East,New,3,2115,1497.46,617.54,Medium
2024-03-19,Product_C,North,New,1,1057,771.4,285.6,Medium
2024-05-18,Product_D,West,Returning,1,482,356.41,125.59,Low
2024-01-25,Product_D,North,High Value,12,6660,3770.45,2889.55,Medium
2024-04-06,Product_B,East,Returning,8,5640,4158.36,1481.64,Medium
2024-04-02,Product_C,North,New,12,13932,8222.42,5709.58,Medium
2024-01-02,Product_D,East,New,5,2960,2185.0,775.0,Low
2024-05-27,Product_B,West,High Value,17,19737,12977.4,6759.6,Low
2024-01-06,Product_A,East,High Value,14,4396,3262.15,1133.85,Low
2024-01-04,Product_D,North,Returning,2,1632,902.29,729.71,Low
2024-01-21,Product_C,South,Returning,5,6405,3539.76,2865.24,Low
2024-05-05,Product_A,North,New,6,5154,3540.22,1613.78,Low
2024-02-22,Product_B,North,High Value,6,5616,3691.43,1924.57,High
2024-02-02,Product_D,West,Returning,19,21280,12060.61,9219.39,Medium
2024-02-10,Product_D,West,Returning,5,7140,3971.76,3168.24,Low
2024-01-06,Product_D,West,High Value,5,6635,4649.11,1985.89,Low
2024-04-30,Product_B,East,Returning,18,7398,4877.13,2520.87,Low
2024-03-05,Product_D,South,New,12,10992,7921.46,3070.54,High
2024-03-30,Product_D,West,High Value,14,6370,3619.08,2750.92,Low
2024-05-08,Product_A,South,New,15,20925,12048.21,8876.79,Medium
2024-02-10,Product_C,East,New,18,16182,10052.48,6129.52,Medium
2024-05-18,Product_D,South,New,4,4120,2491.91,1628.09,Low
2024-05-01,Product_B,West,High Value,10,11770,6771.99,4998.01,High
2024-05-28,Product_B,North,High Value,5,1295,787.14,507.86,Low
2024-02-22,Product_A,West,New,18,17208,9828.51,7379.49,Low
2024-04-06,Product_D,South,High Value,17,4352,2708.24,1643.76,Low
2024-03-14,Product_C,North,High Value,19,14972,10646.49,4325.51,Low
2024-02-12,Product_C,West,Returning,1,1296,799.19,496.81,Low
2024-01-01,Product_D,South,Returning,17,15810,11567.69,4242.31,Medium
2024-03-07,Product_C,East,Returning,2,1590,1051.77,538.23,High
2024-03-23,Product_A,North,Returning,11,11638,8212.77,3425.23,Low
2024-02-18,Product_D,North,New,17,13447,9250.41,4196.59,High
2024-05-30,Product_C,South,New,16,11568,7052.99,4515.01,Medium
2024-04-25,Product_B,East,High Value,11,4697,2844.61,1852.39,Low
2024-02-12,Product_B,West,High Value,6,3618,2518.86,1099.14,Low
2024-02-26,Product_A,South,High Value,6,2748,1780.31,967.69,Low
2024-02-27,Product_A,South,High Value,1,1324,782.48,541.52,Medium
2024-03-03,Product_B,North,New,15,6540,4712.13,1827.87,Low
2024-03-26,Product_B,East,New,7,7091,5064.28,2026.72,Low
2024-03-09,Product_D,South,Returning,10,4720,3086.13,1633.87,Low
2024-02-17,Product_A,North,Returning,16,19952,14739.61,5212.39,High
2024-05-16,Product_C,East,New,18,22680,15660.08,7019.92,Medium
2024-03-31,Product_A,East,Returning,8,8920,6205.89,2714.11,Low
2024-02-22,Product_B,East,Returning,3,4374,3280.03,1093.97,Medium
2024-03-04,Product_B,East,Returning,16,19168,12496.49,6671.51,Low
2024-01-01,Product_B,North,New,12,7368,5035.24,2332.76,Low
2024-01-25,Product_D,South,Returning,18,24354,16417.31,7936.69,Medium
2024-06-03,Product_D,South,Returning,18,25002,16938.37,8063.63,Medium
2024-01-08,Product_B,South,Returning,11,12353,7687.68,4665.32,Low
2024-05-14,Product_A,South,Returning,11,15972,11201.29,4770.71,Low
2024-04-18,Product_C,West,High Value,14,4438,2799.16,1638.84,High
2024-01-02,Product_D,West,New,11,11825,7781.36,4043.64,Low
2024-04-26,Product_C,West,New,14,16114,9466.48,6647.52,Low
2024-05-30,Product_D,West,New,10,13940,10442.79,3497.21,Medium
2024-02-23,Product_A,South,Returning,12,12204,8493.8,3710.2,High
2024-02-23,Product_A,East,Returning,14,10080,5956.71,4123.29,Low
2024-05-25,Product_A,West,Returning,18,21006,14182.58,6823.42,Low
2024-05-31,Product_D,East,New,11,14498,9458.32,5039.68,Low
2024-01-30,Product_A,North,Returning,3,1785,1042.73,742.27,Low
2024-04-22,Product_D,West,Returning,2,1212,789.68,422.32,Low
2024-05-27,Product_A,South,New,14,8778,5251.11,3526.89,Low
2024-01-17,Product_B,North,Returning,6,3420,1942.44,1477.56,Low
2024-04-05,Product_A,West,High Value,5,2395,1412.58,982.42,High
2024-02-17,Product_B,East,Returning,15,21555,12527.13,9027.87,Low
2024-03-03,Product_A,South,High Value,12,12516,7407.73,5108.27,Low
2024-06-11,Product_D,South,High Value,7,6615,3757.87,2857.13,High
2024-04-03,Product_C,North,New,18,25722,16216.49,9505.51,Low
2024-06-07,Product_A,West,Returning,10,3170,1821.68,1348.32,Low
2024-02-28,Product_B,North,Returning,4,1840,1050.58,789.42,Low
2024-03-23,Product_A,West,Returning,8,10608,7034.68,3573.32,Low
2024-02-23,Product_C,North,High Value,5,4685,2915.58,1769.42,Low
2024-03-19,Product_B,East,New,7,9891,6190.35,3700.65,Low
2024-01-18,Product_A,West,Returning,18,12330,9212.81,3117.19,Medium
2024-04-24,Product_B,South,Returning,16,9728,6476.05,3251.95,High
2024-01-29,Product_D,North,High Value,3,3225,1886.3,1338.7,Low
2024-04-02,Product_D,West,Returning,19,27797,17257.23,10539.77,Low
2024-04-20,Product_B,North,High Value,7,7826,5743.96,2082.04,Low
2024-01-17,Product_C,North,New,10,6020,4202.57,1817.43,Medium
2024-05-24,Product_D,North,New,18,22752,13272.55,9479.45,Medium
2024-02-24,Product_D,North,Returning,14,13888,8926.68,4961.32,Low
2024-04-03,Product_B,West,High Value,16,20752,13075.13,7676.87,Low
2024-05-08,Product_C,North,New,15,16920,12293.47,4626.53,Low
2024-05-16,Product_C,West,New,3,912,585.88,326.12,High
2024-04-11,Product_C,West,Returning,12,11544,7048.92,4495.08,Medium
2024-03-12,Product_A,North,Returning,2,1824,1245.58,578.42,Low
2024-03-08,Product_A,East,High Value,10,9370,6955.56,2414.44,Medium
2024-05-05,Product_D,West,New,1,822,591.75,230.25,Low
2024-05-09,Product_A,East,High Value,13,4602,2588.57,2013.43,Low
2024-01-15,Product_B,East,New,8,7264,4144.11,3119.89,Low
2024-06-14,Product_C,East,New,10,3360,1943.95,1416.05,Low
2024-06-24,Product_B,North,New,7,4452,3332.43,1119.57,Medium
2024-06-25,Product_A,South,High Value,3,2889,1977.26,911.74,Medium
2024-04-18,Product_C,South,High Value,2,2462,1364.79,1097.21,Medium
2024-04-12,Product_C,East,Returning,14,3318,2200.23,1117.77,Low
2024-01-16,Product_B,East,New,8,10416,7413.69,3002.31,Low
2024-04-05,Product_D,South,Returning,15,7605,5290.68,2314.32,Low
2024-03-30,Product_C,West,High Value,1,643,378.66,264.34,Low
2024-01-09,Product_B,North,New,5,4885,3356.0,1529.0,Medium
2024-05-20,Product_D,South,Returning,13,3432,1940.26,1491.74,Low
2024-04-24,Product_D,North,New,8,9344,6915.95,2428.05,Low
2024-01-05,Product_B,East,Returning,12,13440,8030.36,5409.64,High
2024-05-21,Product_C,West,High Value,4,1008,603.41,404.59,Medium
2024-04-11,Product_D,West,High Value,8,4672,2747.08,1924.92,Low
2024-01-29,Product_B,East,High Value,12,14580,8325.82,6254.18,Medium
2024-02-16,Product_C,North,New,6,8748,6221.16,2526.84,Medium
2024-04-02,Product_C,South,Returning,7,1547,978.98,568.02,Medium
2024-01-25,Product_B,West,High Value,7,4165,2299.18,1865.82,Low
2024-05-19,Product_D,North,New,7,7511,4802.21,2708.79,Low
2024-05-21,Product_A,South,High Value,9,3888,2853.51,1034.49,Low
2024-03-14,Product_B,West,Returning,4,2176,1399.48,776.52,Low
2024-03-03,Product_C,South,High Value,13,7982,5117.21,2864.79,Low
2024-03-04,Product_D,East,Returning,15,6330,4118.95,2211.05,Low
2024-04-09,Product_C,North,New,10,13630,9174.22,4455.78,Low
2024-04-16,Product_C,West,High Value,16,23888,14138.58,9749.42,Low
2024-04-20,Product_A,East,New,13,16302,12056.21,4245.79,Low
2024-06-10,Product_A,East,Returning,5,4335,2982.63,1352.37,Medium
2024-05-17,Product_C,West,High Value,15,15570,10520.66,5049.34,Low
2024-04-04,Product_B,West,New,13,17446,11566.53,5879.47,Low
2024-05-30,Product_D,South,High Value,17,21675,15173.2,6501.8,Medium
2024-01-20,Product_C,East,New,10,14270,8641.6,5628.4,Low
2024-06-21,Product_C,South,High Value,16,21744,13875.29,7868.71,High
2024-01-20,Product_B,North,High Value,17,14178,10055.85,4122.15,Low
2024-02-05,Product_D,North,New,16,21888,14929.09,6958.91,Low
2024-05-17,Product_D,North,Returning,8,2920,1847.62,1072.38,Low
2024-04-23,Product_C,West,New,4,2808,1766.82,1041.18,Low
2024-05-19,Product_A,West,Returning,10,8870,5562.47,3307.53,High
2024-02-16,Product_D,East,High Value,18,21132,13757.42,7374.58,High
2024-06-22,Product_D,West,High Value,11,3465,1946.11,1518.89,Low
2024-03-06,Product_B,West,Returning,5,2045,1283.13,761.87,Medium
2024-04-15,Product_A,North,Returning,11,6523,4737.83,1785.17,Low
2024-04-22,Product_D,South,Returning,6,1992,1246.46,745.54,High
2024-03-04,Product_B,North,Returning,16,20304,14065.2,6238.8,Low
2024-06-07,Product_C,West,High Value,19,4522,2617.34,1904.66,High
2024-06-07,Product_A,North,New,8,2880,1620.63,1259.37,Low
2024-02-29,Product_B,South,Returning,2,882,660.94,221.06,Low
2024-04-12,Product_A,West,High Value,14,14322,8424.89,5897.11,Medium
2024-05-13,Product_A,West,Returning,3,3654,2039.72,1614.28,Low
2024-04-03,Product_C,West,New,12,3924,2696.64,1227.36,High
2024-04-05,Product_B,South,New,10,10510,7256.79,3253.21,High
2024-03-31,Product_A,South,High Value,17,7259,5046.9,2212.1,Low
2024-01-31,Product_C,South,High Value,11,11759,8340.55,3418.45,Low
2024-02-01,Product_A,South,New,15,17925,11712.67,6212.33,Low
2024-03-07,Product_A,West,New,12,17232,11985.07,5246.93,Medium
2024-06-11,Product_A,South,Returning,19,5358,3986.82,1371.18,Low
2024-05-22,Product_A,West,High Value,16,17808,11548.14,6259.86,Medium
2024-04-16,Product_D,West,New,17,10115,5696.36,4418.64,Medium
2024-03-03,Product_A,North,High Value,1,248,184.31,63.69,Low
2024-04-03,Product_A,South,New,7,5866,3841.43,2024.57,High
2024-03-24,Product_B,West,New,7,2968,2216.14,751.86,Medium
2024-01-30,Product_A,South,Returning,9,11115,7576.87,3538.13,Low
2024-04-12,Product_A,West,High Value,13,10322,7087.45,3234.55,Low
